month,# commits
2020-01,3
2020-02,11
2020-03,5
2020-04,116
2020-05,82
2020-06,56
2020-07,56
2020-08,14
2020-09,2
2020-10,4
2020-11,9
2020-12,14
2021-01,2
2021-02,19
2021-03,28
2021-04,12
2021-05,12
2021-06,5
2021-07,9
2021-08,3
2021-09,28
2021-10,4
2021-11,1
2021-12,0
2022-01,4
2022-02,4
2022-03,1
2022-04,17
2022-05,0
2022-06,6
2022-07,3
2022-08,0
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,1
2023-11,3
2023-12,16
2024-01,0
2024-02,0
2024-03,8
2024-04,0
2024-05,0
2024-06,3
2024-07,0
2024-08,2
2024-09,6
