month,# commits
2013-10,48
2013-11,111
2013-12,163
2014-01,26
2014-02,17
2014-03,102
2014-04,27
2014-05,14
2014-06,10
2014-07,6
2014-08,0
2014-09,0
2014-10,0
2014-11,1
2014-12,6
2015-01,0
2015-02,17
2015-03,1
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,1
2015-11,0
2015-12,0
2016-01,0
2016-02,2
2016-03,1
2016-04,0
2016-05,5
2016-06,69
2016-07,33
2016-08,0
2016-09,3
2016-10,1
2016-11,2
2016-12,1
2017-01,14
2017-02,11
2017-03,2
2017-04,9
2017-05,1
2017-06,3
2017-07,5
2017-08,4
2017-09,6
2017-10,1
2017-11,4
2017-12,19
2018-01,1
2018-02,2
2018-03,6
2018-04,1
2018-05,0
2018-06,5
2018-07,2
2018-08,11
2018-09,0
2018-10,4
2018-11,1
2018-12,1
2019-01,0
2019-02,1
2019-03,3
2019-04,0
2019-05,3
2019-06,5
2019-07,2
2019-08,0
2019-09,1
2019-10,1
2019-11,0
2019-12,3
2020-01,2
2020-02,1
2020-03,1
2020-04,1
2020-05,5
2020-06,6
2020-07,4
2020-08,5
2020-09,1
2020-10,0
2020-11,2
2020-12,1
2021-01,1
2021-02,0
2021-03,1
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,1
2021-09,0
2021-10,1
2021-11,1
2021-12,0
2022-01,0
2022-02,1
2022-03,0
2022-04,1
2022-05,1
2022-06,0
2022-07,2
2022-08,1
2022-09,0
2022-10,1
2022-11,1
2022-12,0
2023-01,1
2023-02,0
2023-03,2
2023-04,0
2023-05,1
2023-06,0
2023-07,1
2023-08,1
2023-09,0
2023-10,1
2023-11,1
2023-12,0
2024-01,5
2024-02,0
2024-03,0
2024-04,1
2024-05,1
2024-06,0
2024-07,2
2024-08,2
2024-09,0
2024-10,1
2024-11,0
2024-12,0
2025-01,0
2025-02,1
2025-03,2
