month,# commits
2016-07,54
2016-08,63
2016-09,9
2016-10,9
2016-11,0
2016-12,1
2017-01,1
2017-02,0
2017-03,0
2017-04,3
2017-05,0
2017-06,0
2017-07,0
2017-08,11
2017-09,6
2017-10,0
2017-11,0
2017-12,3
2018-01,5
2018-02,2
2018-03,7
2018-04,2
2018-05,33
2018-06,56
2018-07,65
2018-08,32
2018-09,2
2018-10,3
2018-11,2
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,2
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,8
2020-01,0
2020-02,1
2020-03,6
2020-04,2
2020-05,0
2020-06,0
2020-07,17
2020-08,30
2020-09,0
2020-10,6
2020-11,10
2020-12,4
2021-01,2
2021-02,8
2021-03,0
2021-04,0
2021-05,11
2021-06,38
2021-07,0
2021-08,2
2021-09,2
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,1
2022-04,0
2022-05,2
2022-06,0
2022-07,0
2022-08,0
2022-09,1
2022-10,0
2022-11,0
2022-12,0
2023-01,4
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,0
2025-03,0
2025-04,0
2025-05,0
2025-06,2
2025-07,4
2025-08,6
2025-09,0
2025-10,0
2025-11,1
2025-12,0
2026-01,0
2026-02,6
2026-03,3
2026-04,5
