month,# commits
2014-10,20
2014-11,5
2014-12,0
2015-01,0
2015-02,3
2015-03,13
2015-04,1
2015-05,2
2015-06,15
2015-07,18
2015-08,8
2015-09,3
2015-10,15
2015-11,11
2015-12,0
2016-01,0
2016-02,0
2016-03,4
2016-04,2
2016-05,13
2016-06,0
2016-07,2
2016-08,0
2016-09,0
2016-10,10
2016-11,14
2016-12,0
2017-01,0
2017-02,1
2017-03,2
2017-04,4
2017-05,2
2017-06,0
2017-07,5
2017-08,4
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,2
2018-02,2
2018-03,1
2018-04,5
2018-05,1
2018-06,0
2018-07,2
2018-08,0
2018-09,0
2018-10,0
2018-11,3
2018-12,6
2019-01,1
2019-02,0
2019-03,10
2019-04,2
2019-05,0
2019-06,0
2019-07,0
2019-08,4
2019-09,14
2019-10,9
2019-11,2
2019-12,4
2020-01,0
2020-02,3
2020-03,0
2020-04,13
2020-05,12
2020-06,5
2020-07,0
2020-08,3
2020-09,0
2020-10,3
2020-11,0
2020-12,0
2021-01,43
2021-02,2
2021-03,1
2021-04,0
2021-05,4
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,15
2021-11,0
2021-12,4
2022-01,6
2022-02,0
2022-03,10
2022-04,0
2022-05,4
2022-06,5
2022-07,16
2022-08,0
2022-09,3
2022-10,5
2022-11,11
2022-12,13
2023-01,8
2023-02,6
2023-03,15
2023-04,2
2023-05,10
2023-06,0
2023-07,0
2023-08,12
2023-09,27
2023-10,12
2023-11,0
2023-12,15
2024-01,0
2024-02,3
2024-03,11
2024-04,0
2024-05,0
2024-06,26
2024-07,16
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,7
2025-02,0
2025-03,1
2025-04,0
2025-05,0
2025-06,0
2025-07,0
2025-08,6
2025-09,3
2025-10,0
2025-11,0
2025-12,11
2026-01,1
