month,# commits
2018-07,1
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,111
2019-06,0
2019-07,0
2019-08,1
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,2
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,95
2021-04,119
2021-05,47
2021-06,46
2021-07,78
2021-08,45
2021-09,0
2021-10,83
2021-11,2
2021-12,0
2022-01,0
2022-02,8
2022-03,9
2022-04,0
2022-05,2
2022-06,30
2022-07,0
2022-08,0
2022-09,0
2022-10,1
2022-11,4
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,1
2023-06,4
2023-07,4
2023-08,0
2023-09,4
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,7
2025-03,0
2025-04,0
2025-05,0
2025-06,11
2025-07,3
2025-08,3
2025-09,3
