month,# commits
2014-04,2
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,36
2015-02,23
2015-03,5
2015-04,5
2015-05,3
2015-06,1
2015-07,0
2015-08,0
2015-09,0
2015-10,4
2015-11,8
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,1
2016-06,0
2016-07,29
2016-08,10
2016-09,2
2016-10,0
2016-11,0
2016-12,19
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,8
2017-08,0
2017-09,0
2017-10,0
2017-11,3
2017-12,1
2018-01,2
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,2
2018-07,0
2018-08,1
2018-09,19
2018-10,6
2018-11,10
2018-12,4
2019-01,4
2019-02,3
2019-03,0
2019-04,4
2019-05,14
2019-06,18
2019-07,2
2019-08,3
2019-09,0
2019-10,1
2019-11,0
2019-12,7
2020-01,4
2020-02,4
2020-03,9
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,2
2020-09,5
2020-10,0
2020-11,7
2020-12,13
2021-01,0
2021-02,4
2021-03,1
2021-04,0
2021-05,0
2021-06,3
2021-07,4
2021-08,0
2021-09,4
2021-10,3
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,5
2022-04,0
2022-05,0
2022-06,3
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,7
2022-12,0
2023-01,1
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,4
2023-09,1
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,6
2024-11,0
2024-12,0
2025-01,0
2025-02,0
2025-03,0
2025-04,0
2025-05,0
2025-06,0
2025-07,0
2025-08,0
2025-09,0
2025-10,7
2025-11,11
