month,# commits
2017-07,7
2017-08,12
2017-09,27
2017-10,71
2017-11,33
2017-12,15
2018-01,8
2018-02,16
2018-03,36
2018-04,23
2018-05,28
2018-06,55
2018-07,2
2018-08,8
2018-09,6
2018-10,14
2018-11,5
2018-12,10
2019-01,0
2019-02,16
2019-03,32
2019-04,70
2019-05,14
2019-06,1
2019-07,0
2019-08,5
2019-09,0
2019-10,2
2019-11,1
2019-12,0
2020-01,5
2020-02,2
2020-03,1
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,3
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,2
2021-07,0
2021-08,0
2021-09,0
2021-10,4
2021-11,0
2021-12,0
2022-01,0
2022-02,1
2022-03,2
2022-04,0
2022-05,0
2022-06,9
2022-07,0
2022-08,0
2022-09,3
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,3
2023-04,0
2023-05,0
2023-06,3
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,3
2024-02,0
2024-03,1
2024-04,1
2024-05,0
2024-06,0
2024-07,43
2024-08,3
2024-09,2
2024-10,2
2024-11,2
2024-12,1
2025-01,1
