month,# commits
2013-03,2
2013-04,0
2013-05,2
2013-06,23
2013-07,6
2013-08,2
2013-09,1
2013-10,0
2013-11,1
2013-12,4
2014-01,3
2014-02,13
2014-03,4
2014-04,0
2014-05,0
2014-06,10
2014-07,0
2014-08,10
2014-09,0
2014-10,0
2014-11,11
2014-12,14
2015-01,2
2015-02,2
2015-03,30
2015-04,19
2015-05,4
2015-06,0
2015-07,7
2015-08,4
2015-09,0
2015-10,0
2015-11,5
2015-12,11
2016-01,2
2016-02,27
2016-03,28
2016-04,16
2016-05,8
2016-06,21
2016-07,1
2016-08,6
2016-09,8
2016-10,1
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,1
2017-04,12
2017-05,4
2017-06,6
2017-07,4
2017-08,2
2017-09,9
2017-10,11
2017-11,3
2017-12,5
2018-01,3
2018-02,8
2018-03,0
2018-04,3
2018-05,0
2018-06,0
2018-07,18
2018-08,1
2018-09,7
2018-10,6
2018-11,14
2018-12,6
2019-01,0
2019-02,0
2019-03,8
2019-04,1
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,6
2019-10,8
2019-11,12
2019-12,2
2020-01,7
2020-02,1
2020-03,1
2020-04,0
2020-05,0
2020-06,7
2020-07,13
2020-08,7
2020-09,31
2020-10,15
2020-11,3
2020-12,0
2021-01,0
2021-02,0
2021-03,10
2021-04,13
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,6
2022-06,0
2022-07,0
2022-08,13
2022-09,0
2022-10,0
2022-11,0
2022-12,2
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,3
2023-09,31
2023-10,2
2023-11,0
2023-12,0
2024-01,1
2024-02,0
2024-03,12
2024-04,2
2024-05,0
2024-06,0
2024-07,0
2024-08,22
2024-09,1
2024-10,0
2024-11,2
