month,# commits
2020-09,14
2020-10,22
2020-11,70
2020-12,11
2021-01,32
2021-02,10
2021-03,109
2021-04,45
2021-05,7
2021-06,3
2021-07,58
2021-08,2
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,12
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,3
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,3
2023-09,5
2023-10,0
2023-11,0
2023-12,0
2024-01,6
2024-02,4
2024-03,49
2024-04,33
2024-05,8
2024-06,27
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,1
2025-03,0
2025-04,0
2025-05,0
2025-06,0
2025-07,15
2025-08,0
2025-09,3
2025-10,0
2025-11,0
2025-12,0
2026-01,3
2026-02,0
2026-03,4
2026-04,5
